,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
299,"Warren, Michigan",Pizza Place,American Restaurant,Breakfast Spot,Bakery,Diner,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Burger Joint,Sandwich Place,Italian Restaurant,Café,Bagel Shop,Middle Eastern Restaurant,Mexican Restaurant,BBQ Joint,Steakhouse,Asian Restaurant,Seafood Restaurant,New American Restaurant,Food,Fast Food Restaurant,Polish Restaurant,Falafel Restaurant,Donut Shop
300,"Washington, D.C., District of Columbia",Pizza Place,American Restaurant,Mediterranean Restaurant,Italian Restaurant,New American Restaurant,Indian Restaurant,Seafood Restaurant,Thai Restaurant,Café,Mexican Restaurant,Ramen Restaurant,Taco Place,Bakery,Food Truck,Sandwich Place,Asian Restaurant,Falafel Restaurant,French Restaurant,Steakhouse,Spanish Restaurant,Burger Joint,Salad Place,Poke Place,Deli / Bodega,Noodle House
301,"Waterbury, Connecticut",Pizza Place,Italian Restaurant,American Restaurant,Bakery,Deli / Bodega,Sandwich Place,Fast Food Restaurant,Mexican Restaurant,Seafood Restaurant,Breakfast Spot,New American Restaurant,BBQ Joint,Food Truck,Indian Restaurant,Burger Joint,Diner,Chinese Restaurant,Falafel Restaurant,Donut Shop,Latin American Restaurant,Café,Noodle House,South American Restaurant,Asian Restaurant,Spanish Restaurant
302,"West Covina, California",Pizza Place,Bakery,Sandwich Place,Café,American Restaurant,Taco Place,Mexican Restaurant,Mediterranean Restaurant,Breakfast Spot,Korean Restaurant,Burger Joint,Italian Restaurant,Fast Food Restaurant,Food Court,Donut Shop,Deli / Bodega,Sushi Restaurant,Hot Dog Joint,Asian Restaurant,Food Truck,Filipino Restaurant,Middle Eastern Restaurant,Dumpling Restaurant,Falafel Restaurant,Seafood Restaurant
303,"West Jordan, Utah",Sandwich Place,Mexican Restaurant,Burger Joint,Bakery,Pizza Place,Fast Food Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,Asian Restaurant,Diner,Vegetarian / Vegan Restaurant,Italian Restaurant,Breakfast Spot,Indian Restaurant,Japanese Restaurant,Steakhouse,Chinese Restaurant,Soup Place,Deli / Bodega,BBQ Joint,Mediterranean Restaurant,Café,Korean Restaurant,Seafood Restaurant
304,"West Palm Beach, Florida",American Restaurant,Pizza Place,Seafood Restaurant,Mexican Restaurant,Café,Italian Restaurant,Steakhouse,Diner,Breakfast Spot,French Restaurant,Asian Restaurant,Fast Food Restaurant,Cuban Restaurant,New American Restaurant,Greek Restaurant,Latin American Restaurant,Food Truck,Gastropub,Vegetarian / Vegan Restaurant,Bakery,Mediterranean Restaurant,Middle Eastern Restaurant,Japanese Restaurant,Gluten-free Restaurant,Salad Place
305,"West Valley City, Utah",Pizza Place,Bakery,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Mexican Restaurant,Vietnamese Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Sushi Restaurant,Indian Restaurant,Asian Restaurant,Thai Restaurant,Diner,Burger Joint,Deli / Bodega,Japanese Restaurant,Café,American Restaurant,Middle Eastern Restaurant,New American Restaurant,BBQ Joint,Wings Joint,Chinese Restaurant
306,"Westminster, Colorado",American Restaurant,Pizza Place,Italian Restaurant,New American Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Burger Joint,Taco Place,BBQ Joint,Sushi Restaurant,Chinese Restaurant,Gastropub,Indian Restaurant,Steakhouse,Seafood Restaurant,Japanese Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Food Court,Korean Restaurant,French Restaurant,Hot Dog Joint,Polish Restaurant,German Restaurant
307,"Wichita Falls, Texas",Mexican Restaurant,Sandwich Place,Fast Food Restaurant,Burger Joint,BBQ Joint,American Restaurant,Italian Restaurant,Deli / Bodega,Seafood Restaurant,Pizza Place,New American Restaurant,Comfort Food Restaurant,Steakhouse,Chinese Restaurant,Mediterranean Restaurant,Café,Wings Joint,Southern / Soul Food Restaurant,Fried Chicken Joint,Japanese Restaurant,Bakery,Gastropub,Thai Restaurant,Greek Restaurant,Truck Stop
308,"Wichita, Kansas",Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Mediterranean Restaurant,Deli / Bodega,Seafood Restaurant,Vietnamese Restaurant,Diner,Bakery,BBQ Joint,Breakfast Spot,Italian Restaurant,Steakhouse,Chinese Restaurant,Fast Food Restaurant,Taco Place,Sandwich Place,Sushi Restaurant,Tex-Mex Restaurant,Middle Eastern Restaurant,Noodle House,Gastropub,Latin American Restaurant,New American Restaurant
309,"Wilmington, North Carolina",Sandwich Place,Seafood Restaurant,Burger Joint,American Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,Breakfast Spot,Deli / Bodega,French Restaurant,Southern / Soul Food Restaurant,Café,Fast Food Restaurant,Diner,Sushi Restaurant,Japanese Restaurant,Taco Place,Hot Dog Joint,Thai Restaurant,BBQ Joint,Burrito Place,Mongolian Restaurant,Latin American Restaurant,Chinese Restaurant,Greek Restaurant
310,"Winston–Salem, North Carolina",American Restaurant,Pizza Place,Bakery,Mexican Restaurant,Fast Food Restaurant,Italian Restaurant,Burger Joint,Greek Restaurant,Breakfast Spot,Wings Joint,Seafood Restaurant,BBQ Joint,Asian Restaurant,Deli / Bodega,Café,Donut Shop,Steakhouse,Southern / Soul Food Restaurant,Japanese Restaurant,Thai Restaurant,Szechuan Restaurant,French Restaurant,Caribbean Restaurant,Mediterranean Restaurant,Fried Chicken Joint
311,"Woodbridge, New Jersey",Bakery,Pizza Place,Italian Restaurant,Café,Sandwich Place,Sushi Restaurant,Thai Restaurant,Mexican Restaurant,Seafood Restaurant,Caribbean Restaurant,Japanese Restaurant,French Restaurant,Food Court,New American Restaurant,American Restaurant,Deli / Bodega,Greek Restaurant,Colombian Restaurant,Diner,Noodle House,Salad Place,Donut Shop,Mediterranean Restaurant,Eastern European Restaurant,Cuban Restaurant
312,"Worcester, Massachusetts",American Restaurant,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Pizza Place,Sandwich Place,Bakery,Café,Hot Dog Joint,Seafood Restaurant,Mexican Restaurant,Bistro,BBQ Joint,Donut Shop,Gastropub,Diner,Vegetarian / Vegan Restaurant,Steakhouse,Burger Joint,Asian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,New American Restaurant,Deli / Bodega,Cuban Restaurant
313,"Yonkers, New York",Bakery,Pizza Place,American Restaurant,New American Restaurant,Sushi Restaurant,Greek Restaurant,Seafood Restaurant,Italian Restaurant,Salad Place,Sandwich Place,Café,Korean Restaurant,Mediterranean Restaurant,Chinese Restaurant,Thai Restaurant,Taco Place,Bagel Shop,French Restaurant,Japanese Restaurant,Spanish Restaurant,Mexican Restaurant,Southern / Soul Food Restaurant,Tapas Restaurant,Steakhouse,Deli / Bodega
